graph,sampling_on_local_on_bucket_on,sampling_on_local_on_bucket_off,sampling_on_local_off_bucket_on,sampling_on_local_off_bucket_off,sampling_off_local_on_bucket_on,sampling_off_local_on_bucket_off,sampling_off_local_off_bucket_on,sampling_off_local_off_bucket_off
2d,1.597194,2.364267,9.887165,12.136344,1.691547,2.326944,10.111377,12.405448
CHEM_5_sym,0.023081,0.034791,0.047754,0.058918,0.022427,0.03439,0.046599,0.056695
Cosmo50_5_sym,2.107572,2.824393,3.904832,4.584545,2.148725,2.850679,3.950949,4.700107
GeoLifeNoScale_10_sym,0.184822,0.229143,0.32839,0.400735,0.171832,0.233429,0.323059,0.391204
GeoLifeNoScale_2_sym,0.109558,0.139021,0.197243,0.22852,0.113702,0.1432,0.193401,0.225054
GeoLifeNoScale_5_sym,0.130624,0.17053,0.265638,0.309609,0.125798,0.173486,0.254017,0.300858
africa_sym,0.170775,0.243763,0.31929,0.424286,0.162873,0.250924,0.306531,0.372478
asia_sym,0.514723,0.723208,0.852835,1.035832,0.494125,0.713724,0.825279,1.072107
com-orkut_sym,0.495654,0.496669,0.462356,0.471841,0.480579,0.476791,0.469498,0.449613
core,9e-06,6e-06,1.3e-05,8e-06,1e-05,1.4e-05,7e-06,8e-06
eu-2015-host_sym,0.85494,0.911576,0.961211,1.025297,1.063427,1.109709,1.170907,1.232607
europe_sym,0.712162,1.017567,1.152182,1.508334,0.707809,1.052286,1.132343,1.470014
friendster_sym,3.81226,3.955507,4.247826,4.184163,4.038165,3.709566,4.099207,4.097607
hugebubbles-00020_sym,0.088009,0.146631,0.605615,0.698761,0.093224,0.145241,0.609113,0.724467
hugetrace-00020_sym,0.075722,0.106875,0.540079,0.601213,0.068495,0.098471,0.533541,0.624116
north-america_sym,0.46983,0.64966,0.785948,0.991689,0.466971,0.685795,0.776292,0.994001
powerlaw,6.987262,7.640983,6.556696,7.998127,7.505635,8.301459,7.334884,8.194036
sd_arc_sym,4.313832,5.581108,4.88639,5.216586,4.921879,4.992194,5.18288,5.249133
sinaweibo_sym,0.958188,0.858413,0.983025,0.910714,0.873382,0.86515,0.988819,0.882476
soc-LiveJournal1_sym,0.221762,0.223687,0.257248,0.261871,0.216702,0.218094,0.254595,0.269012
twitter_sym,3.978024,3.905078,4.292511,4.037969,8.634972,8.112332,8.053276,7.944506
